date,Azienda Ospedale Università Padova,Azienda Ospedale Università Padova- Ospedale S. Antonio,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento,Casa di Cura Giovanni XXIII Monastier -TV,Casa di Cura Rizzola,Casa di Cura Villa Maria - Padova,Casa di Cura Villa Maria ODC - Padova,Casa di cura Policlinico San Marco Mestre,Centro Servizi Casa Luigi e Augusta - Ormelle,Centro Servizi Civitas Vitae - Vedelago,IRCCS - IOV,Ospedale Cinto Caomaggiore (VE),Ospedale Comunità Alano di Piave (BL),Ospedale Comunità Camposampiero,Ospedale Comunità Casa di Cura Rizzola,Ospedale Comunità Marostica,Ospedale Comunità Montagnana (PD),Ospedale Comunità SS. Giovanni e Paolo (VE),Ospedale Comunità Valeggio sul Mincio,Ospedale Comunità Vittorio Veneto,Ospedale Comunità c/o Ospedale Adria,Ospedale Comunità di Castelfranco,Ospedale P. Pederzoli-Peschiera,Ospedale S. Camillo-Treviso,Ospedale Sacro Cuore Don Calabria-Negrar,Ospedale Villa Salus-Mestre,Ospedale civ. Motta di Livenza - Treviso,ULSS 1 - Ospedale Agordo,ULSS 1 - Ospedale Belluno,ULSS 1 - Ospedale Comunità Agordo,ULSS 1 - Ospedale Comunità Belluno,ULSS 1 - Ospedale Feltre,ULSS 2 - Ospedale Castelfranco,ULSS 2 - Ospedale Conegliano,ULSS 2 - Ospedale Montebelluna,ULSS 2 - Ospedale Oderzo,ULSS 2 - Ospedale Treviso,ULSS 2 - Ospedale Vittorio Veneto,ULSS 3 - Ospedale Chioggia,ULSS 3 - Ospedale Dolo,ULSS 3 - Ospedale Mestre,ULSS 3 - Ospedale Mirano,ULSS 3 - Ospedale Noale,ULSS 3 - Ospedale Venezia,ULSS 4 - Ospedale Jesolo,ULSS 4 - Ospedale Portogruaro,ULSS 4 - Ospedale San Donà di Piave,ULSS 5 - Ospedale Adria,ULSS 5 - Ospedale Rovigo,ULSS 5 - Ospedale Trecenta,ULSS 6 - Ospedale Camposampiero,ULSS 6 - Ospedale Cittadella,ULSS 6 - Ospedale Conselve,ULSS 6 - Ospedale Piove di Sacco,ULSS 6 - Ospedale Schiavonia,ULSS 7 - Ospedale Asiago,ULSS 7 - Ospedale Bassano,ULSS 7 - Ospedale Santorso,ULSS 8 - Ospedale Arzignano,ULSS 8 - Ospedale Lonigo,ULSS 8 - Ospedale Noventa Vicentina,ULSS 8 - Ospedale Valdagno,ULSS 8 - Ospedale Vicenza,ULSS 9 - Ospedale Bovolone,ULSS 9 - Ospedale Bussolengo,ULSS 9 - Ospedale Legnago,ULSS 9 - Ospedale Malcesine,ULSS 9 - Ospedale Marzana,ULSS 9 - Ospedale San Bonifacio,ULSS 9 - Ospedale Villafranca,Veneto
20200306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
20200307,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
20200308,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
20200309,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
20200310,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
20200311,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
20200312,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,40
20200313,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,25,1,1,0,7,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,50
20200314,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,27,1,1,0,7,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,60
20200315,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,27,1,1,1,7,0,0,1,0,0,0,0,0,0,0,2,0,1,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,66
20200316,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,1,1,2,1,29,1,1,1,7,0,0,2,2,0,0,0,0,0,0,2,0,1,3,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,76
20200317,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,1,3,2,1,30,1,1,1,8,0,0,2,2,0,0,0,0,0,0,2,0,1,5,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,89
20200318,7,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,2,1,6,2,1,34,1,1,1,8,2,0,3,2,0,0,0,1,0,0,2,0,1,6,5,2,1,0,0,0,0,3,0,0,2,0,0,0,0,113
20200319,7,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,2,2,6,2,3,38,1,1,1,9,2,0,4,2,0,0,0,1,0,0,2,0,1,8,5,4,1,0,0,0,0,4,0,0,2,0,0,0,0,130
20200320,7,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,2,2,6,2,3,38,1,1,1,10,3,0,5,3,0,0,0,1,0,0,2,0,1,10,5,4,1,0,0,0,0,4,0,0,3,0,0,0,1,140
20200321,8,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,2,5,6,2,3,42,1,1,1,10,3,0,5,5,0,0,0,2,0,0,2,0,1,12,5,6,1,0,0,0,0,10,0,0,3,0,0,0,1,164
20200322,10,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,4,0,0,3,6,7,2,3,44,2,1,2,10,3,0,5,5,0,0,0,2,0,0,2,0,1,13,5,6,1,0,0,0,0,11,0,0,5,0,0,0,1,186
20200323,11,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,4,0,0,3,6,7,4,3,47,2,2,4,12,3,0,5,6,0,0,0,2,0,0,2,0,1,15,5,6,1,0,0,0,0,12,0,0,7,0,0,0,1,210
20200324,12,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,4,0,0,3,6,9,4,3,49,2,2,5,13,3,0,5,9,0,0,0,2,0,1,2,0,1,17,8,7,4,0,0,0,0,14,0,0,8,0,0,0,1,237
20200325,13,0,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,5,0,0,3,6,10,4,5,52,3,2,7,16,3,0,5,9,0,0,0,2,0,1,2,0,0,20,8,7,4,0,0,0,1,16,0,0,12,0,0,0,1,273
20200326,13,0,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,6,0,0,4,6,10,5,5,55,6,2,8,17,4,0,5,9,0,0,0,2,0,1,2,0,0,23,8,8,5,0,0,0,1,24,0,0,14,0,0,0,3,308
20200327,17,0,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,2,0,0,6,0,0,4,6,10,6,5,57,6,2,9,18,4,0,5,11,0,0,0,2,0,1,2,0,0,25,8,8,8,0,0,0,1,24,0,0,16,0,0,2,6,342
20200328,18,0,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,2,0,0,8,0,1,4,6,10,6,5,57,7,2,13,18,5,0,5,11,0,0,0,2,0,1,2,0,0,29,9,8,11,0,0,0,1,27,0,0,18,0,0,3,9,378
20200329,19,0,49,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,2,0,0,8,0,1,4,6,10,6,5,59,8,2,13,19,5,0,5,11,0,0,0,2,0,3,2,0,0,32,9,8,12,0,0,0,1,29,0,0,20,0,0,3,12,402
20200330,21,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,2,0,0,10,0,1,4,6,12,6,5,60,10,2,14,19,6,0,6,12,0,0,0,2,0,3,2,0,0,36,9,9,14,0,0,0,1,35,0,0,21,0,0,3,12,436
20200331,22,0,59,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,2,0,0,11,0,1,4,6,13,6,5,61,11,3,17,20,6,0,6,13,0,0,0,2,0,3,2,0,0,36,9,9,15,0,0,0,1,37,0,0,21,0,0,4,15,465
20200401,23,0,60,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,2,0,0,11,0,3,5,6,13,7,5,61,12,3,20,20,7,0,7,14,0,0,0,4,0,4,2,0,0,37,9,10,15,0,0,0,1,38,0,0,23,0,0,5,16,489
20200402,27,1,62,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,2,0,0,15,0,3,5,6,14,8,6,62,13,3,23,23,7,0,7,14,0,0,0,4,0,4,2,0,0,39,9,10,15,0,0,0,1,38,0,0,23,0,1,5,22,525
20200403,27,1,65,15,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19,2,0,0,17,1,3,5,6,15,8,6,63,14,3,26,26,7,0,7,16,0,0,0,4,1,4,2,0,0,42,10,11,16,0,0,0,2,39,0,0,27,0,1,7,24,562
20200404,31,1,67,16,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19,2,0,0,17,1,3,5,6,15,8,7,65,15,3,26,26,7,0,8,16,0,0,0,3,2,4,2,0,0,45,10,11,17,0,0,0,2,40,0,0,29,0,1,8,25,583
20200405,33,1,69,16,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19,2,0,0,17,1,3,5,6,16,9,8,66,15,3,27,27,6,0,9,16,0,0,0,3,2,5,2,0,0,47,10,11,17,1,0,0,3,45,0,0,31,0,1,8,25,605
20200406,34,1,72,16,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,19,1,21,2,0,0,18,1,3,5,6,16,9,8,69,13,3,30,27,6,0,9,17,0,0,0,3,3,5,2,0,0,49,10,11,21,1,0,0,3,45,0,0,33,0,1,9,26,633
20200407,37,1,73,16,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,21,1,23,3,0,0,19,1,3,5,7,17,9,9,72,15,3,31,28,6,0,10,19,0,0,0,4,4,5,3,0,0,51,10,11,22,1,0,0,3,45,0,0,33,0,1,9,28,665
20200408,39,1,77,18,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,21,1,24,3,0,0,21,1,3,5,7,17,9,9,73,16,3,33,28,6,0,10,20,0,0,0,4,5,5,3,0,0,52,10,11,22,1,0,0,3,45,0,0,34,0,1,9,28,684
20200409,40,1,78,19,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,23,1,24,3,0,0,21,1,3,5,7,17,9,9,76,18,3,34,30,6,0,10,21,0,0,0,4,7,5,3,0,0,56,10,14,24,1,0,0,3,46,0,0,34,0,1,10,30,717
20200410,42,1,79,20,0,1,0,1,0,4,2,0,0,0,0,0,2,0,0,0,2,0,0,24,1,24,4,0,0,21,1,4,5,7,18,10,9,78,19,3,34,30,6,0,10,21,0,0,0,5,7,5,3,0,0,60,10,12,28,1,0,0,3,49,0,0,35,0,1,12,34,748
20200411,44,1,80,20,0,1,0,1,0,4,2,0,0,0,0,0,2,0,0,0,2,0,0,24,1,25,4,0,0,21,1,4,5,7,18,10,9,81,20,3,38,31,6,0,10,21,0,0,0,5,11,6,3,0,0,60,10,12,28,1,0,0,3,49,0,0,35,0,1,13,38,771
20200412,45,1,83,20,0,1,0,1,0,4,2,0,0,0,0,0,2,0,0,0,2,0,0,24,1,25,4,0,0,21,1,5,5,7,18,10,11,82,20,3,40,31,6,0,10,22,0,0,0,6,12,6,3,0,0,60,10,12,28,1,0,0,3,49,0,1,35,0,1,13,39,786
20200413,46,1,86,20,0,1,0,1,0,4,2,0,0,0,0,0,2,0,0,0,2,0,0,25,1,26,4,0,0,22,1,5,5,7,19,10,11,82,20,3,43,31,6,0,11,22,0,0,0,6,11,6,3,0,0,62,10,12,31,1,0,0,3,53,0,1,36,0,1,13,42,810
20200414,49,1,86,20,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,26,1,26,4,0,0,22,1,5,5,8,19,11,12,87,21,3,45,32,6,0,11,22,0,0,0,6,13,6,3,0,0,66,10,12,32,1,0,0,3,53,0,1,37,0,1,13,43,836
20200415,53,1,86,21,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,28,1,26,4,0,0,24,1,5,6,8,19,12,12,88,21,3,46,32,6,0,11,23,0,0,0,6,14,6,3,0,0,69,10,12,34,1,0,0,3,56,0,1,37,0,2,13,43,860
20200416,53,1,88,22,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,29,1,26,4,0,0,24,1,6,6,8,20,12,12,88,25,3,47,33,6,0,11,23,0,0,0,6,15,6,5,0,0,71,10,12,38,1,0,0,3,56,0,1,37,0,2,18,45,888
20200417,53,1,90,22,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,29,1,26,4,0,0,24,1,6,6,8,20,12,13,88,25,3,50,33,6,0,11,23,0,0,0,6,15,6,5,0,0,71,10,12,38,1,0,0,3,58,0,1,37,0,2,18,45,896
20200418,53,1,90,22,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,29,1,26,4,0,0,24,1,6,6,8,20,12,13,88,25,3,50,33,6,0,11,23,0,0,0,6,15,6,5,0,0,71,10,12,38,1,0,0,3,58,0,1,37,0,2,18,45,896
20200419,56,1,93,25,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,30,1,29,4,0,0,28,1,6,6,8,20,12,15,89,25,3,51,33,7,0,11,23,0,0,0,5,16,6,7,0,0,71,10,12,42,1,0,1,3,61,0,1,40,0,3,18,50,937
20200420,56,1,95,25,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,30,1,29,4,0,0,30,1,7,6,8,20,12,16,92,26,3,53,33,7,0,11,23,0,0,0,5,16,6,7,0,0,76,10,12,42,1,0,1,4,61,0,1,41,0,3,20,51,959
20200421,56,1,96,25,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,33,1,29,5,0,0,30,1,7,6,8,20,12,16,94,26,3,55,33,8,0,11,23,0,0,0,5,19,6,7,0,0,79,10,12,46,1,0,1,4,64,0,1,42,0,3,21,59,992
20200422,0,0,97,25,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,34,1,30,5,0,0,30,1,8,6,8,20,12,17,94,26,3,57,36,8,0,11,23,0,0,0,5,19,6,7,0,0,82,10,12,48,1,0,1,4,64,0,2,42,0,3,21,61,953
20200423,56,1,98,26,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,34,4,30,5,0,0,31,1,9,6,8,20,12,18,95,26,3,59,37,8,0,11,23,0,0,0,5,19,6,7,0,0,84,10,12,50,1,0,1,5,64,0,3,43,0,3,21,62,1030
20200424,56,1,98,26,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,35,4,30,5,0,0,32,1,9,6,8,20,12,18,95,26,3,62,37,9,0,11,24,0,0,0,5,22,6,7,0,0,88,10,12,53,1,0,1,5,64,0,3,43,0,3,21,63,1048
20200425,56,1,101,26,0,1,0,1,0,4,3,0,0,0,0,0,2,0,0,0,2,0,0,35,4,31,5,0,0,33,1,9,6,8,20,12,18,96,27,3,64,37,9,0,13,24,0,0,0,5,22,7,7,0,0,90,10,13,53,1,0,1,5,69,0,3,43,0,3,22,69,1075
20200426,56,1,102,27,0,1,0,1,0,4,3,0,0,0,0,1,2,0,0,0,2,0,0,35,4,31,5,0,0,35,1,9,6,8,20,12,18,96,27,3,65,37,9,0,14,24,0,0,0,5,22,7,7,0,0,90,10,13,54,1,0,1,5,72,0,3,46,0,3,23,73,1094
20200427,57,1,103,28,0,1,0,1,0,4,3,0,0,0,0,1,2,0,0,0,2,0,0,36,4,31,5,0,0,35,1,10,6,8,20,12,18,98,28,3,65,37,9,0,14,24,0,0,0,5,22,7,7,0,0,91,10,13,55,1,0,1,5,73,0,3,46,0,3,23,76,1108
20200428,58,1,105,28,0,1,0,1,0,4,3,0,0,0,0,1,2,0,0,0,2,0,0,38,4,31,5,0,0,39,1,10,6,8,20,12,18,98,28,3,67,38,9,0,14,24,0,0,0,5,23,7,7,0,0,92,10,13,55,1,0,1,5,75,0,3,46,0,3,24,77,1126
20200429,59,1,104,29,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,38,4,33,8,0,0,39,1,10,6,8,20,12,18,98,29,3,69,38,9,0,14,25,0,0,0,5,24,7,7,0,0,92,10,13,56,1,0,1,5,80,0,3,46,0,3,24,81,1150
20200430,60,1,105,30,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,38,4,33,8,0,0,43,1,10,6,8,20,12,20,98,30,3,73,38,9,0,14,25,0,0,0,5,24,7,7,0,0,97,10,13,59,1,0,2,5,82,0,3,46,0,3,25,83,1178
20200501,60,1,106,30,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,38,4,33,8,0,0,43,1,10,6,8,20,12,21,98,30,3,74,38,9,0,14,25,0,0,0,5,24,7,7,0,0,98,10,13,59,1,0,2,5,82,0,3,47,0,3,25,83,1183
20200502,61,1,108,30,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,38,4,33,8,0,0,43,1,11,6,8,20,12,21,100,30,3,76,38,9,1,14,25,0,0,0,5,24,7,7,0,0,98,10,13,60,1,0,2,5,83,0,3,47,0,3,25,86,1197
20200503,62,1,110,30,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,38,4,33,8,0,0,43,1,11,6,8,20,12,21,100,30,3,77,38,9,2,14,25,0,0,0,5,24,7,7,0,0,98,10,13,63,1,0,2,5,87,0,3,47,0,3,25,88,1211
20200504,63,1,111,30,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,39,4,33,8,0,0,45,1,12,6,8,20,12,21,100,31,3,83,38,9,2,14,25,0,0,0,5,24,7,7,0,0,99,10,13,65,1,0,2,5,89,0,3,47,0,4,25,88,1230
20200505,63,1,111,30,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,39,4,33,8,0,0,48,1,13,6,8,20,12,21,101,31,3,86,39,9,2,14,25,0,0,0,5,24,7,7,0,0,99,11,13,66,1,0,2,5,91,0,3,49,0,4,25,88,1245
20200506,64,1,113,30,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,38,4,34,8,0,0,48,1,13,6,8,20,12,21,102,31,3,89,39,9,3,15,25,0,0,0,5,24,7,7,0,0,99,11,13,67,1,0,2,5,93,0,3,49,0,4,25,91,1260
20200507,64,1,114,31,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,38,4,34,9,0,0,48,1,14,6,8,20,12,21,102,32,3,90,39,9,3,15,25,0,0,0,5,24,7,7,0,0,99,11,13,67,1,0,2,5,93,0,3,49,0,5,25,93,1269
20200508,64,1,113,32,0,1,0,1,0,4,3,1,0,0,1,1,3,0,0,0,2,0,0,38,4,35,10,0,0,48,1,15,6,8,20,12,21,104,32,3,94,39,9,3,15,26,0,0,0,5,24,7,7,0,0,99,11,13,68,1,0,2,5,93,0,3,49,0,5,25,94,1281
20200509,64,1,113,32,0,1,0,1,0,4,3,1,0,0,1,1,0,0,0,0,2,0,0,38,4,35,10,0,0,50,1,15,6,8,20,12,21,104,33,3,94,39,9,3,15,26,0,0,0,5,24,7,7,0,0,99,11,13,70,1,0,2,5,93,0,3,49,0,5,25,97,1286
20200510,64,1,113,32,0,1,0,1,0,4,3,0,0,0,1,1,3,0,0,0,2,0,0,38,4,35,10,0,0,50,1,15,6,8,20,12,21,105,33,3,95,40,9,3,15,26,0,0,0,5,24,7,7,0,0,100,11,13,72,1,0,2,5,93,0,3,49,0,6,25,97,1295
20200511,64,1,113,32,0,1,0,1,0,4,3,1,0,0,1,1,4,0,0,0,2,0,0,38,4,35,10,0,0,50,1,16,6,8,20,12,21,105,33,3,95,41,9,3,15,26,0,0,0,5,24,7,7,0,0,101,11,13,74,1,0,2,5,94,0,3,49,0,6,25,98,1304
20200512,64,1,113,32,0,1,0,1,0,4,3,1,0,0,1,1,4,0,0,0,2,0,0,38,4,36,11,0,0,50,1,16,6,8,20,12,21,105,33,3,97,41,9,4,15,28,0,0,0,5,25,7,7,0,0,102,11,13,74,1,0,2,5,94,0,3,49,0,6,25,98,1313
20200513,64,1,113,32,0,1,0,1,0,4,3,1,0,0,1,1,5,0,0,0,2,0,0,38,4,36,11,0,0,50,1,16,6,8,20,12,21,105,34,3,97,41,9,4,15,28,0,0,0,5,26,7,7,0,0,103,11,13,76,1,0,2,5,95,0,3,49,0,6,26,99,1322
20200514,64,1,113,32,0,1,0,1,0,4,4,1,0,0,1,1,5,0,0,0,2,0,0,38,4,36,12,0,0,50,1,16,6,8,20,12,21,105,34,3,98,41,10,4,15,29,1,0,0,5,26,7,7,0,0,103,11,13,76,1,0,2,5,97,0,3,49,0,6,26,102,1333
