date,Azienda Ospedale Università Padova,Azienda Ospedale Università Padova- Ospedale S. Antonio,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento,Casa di Cura Rizzola,Casa di Cura Villa Maria - Padova,Casa di Cura Villa Maria ODC - Padova,Centro Servizi Casa Luigi e Augusta - Ormelle,Centro Servizi Civitas Vitae - Vedelago,IRCCS - IOV,Ospedale Cinto Caomaggiore (VE),Ospedale Comunità Camposampiero,Ospedale Comunità Casa di Cura Rizzola,Ospedale Comunità Marostica,Ospedale Comunità SS. Giovanni e Paolo (VE),Ospedale Comunità Vittorio Veneto,Ospedale Comunità c/o Ospedale Adria,Ospedale Comunità di Castelfranco,Ospedale P. Pederzoli-Peschiera,Ospedale S. Camillo-Treviso,Ospedale Sacro Cuore Don Calabria-Negrar,Ospedale Villa Salus-Mestre,Ospedale civ. Motta di Livenza - Treviso,ULSS 1 - Ospedale Agordo,ULSS 1 - Ospedale Belluno,ULSS 1 - Ospedale Comunità Agordo,ULSS 1 - Ospedale Comunità Belluno,ULSS 1 - Ospedale Feltre,ULSS 2 - Ospedale Castelfranco,ULSS 2 - Ospedale Conegliano,ULSS 2 - Ospedale Montebelluna,ULSS 2 - Ospedale Oderzo,ULSS 2 - Ospedale Treviso,ULSS 2 - Ospedale Vittorio Veneto,ULSS 3 - Ospedale Chioggia,ULSS 3 - Ospedale Dolo,ULSS 3 - Ospedale Mestre,ULSS 3 - Ospedale Mirano,ULSS 3 - Ospedale Venezia,ULSS 4 - Ospedale Jesolo,ULSS 4 - Ospedale Portogruaro,ULSS 4 - Ospedale San Donà di Piave,ULSS 5 - Ospedale Adria,ULSS 5 - Ospedale Rovigo,ULSS 5 - Ospedale Trecenta,ULSS 6 - Ospedale Camposampiero,ULSS 6 - Ospedale Cittadella,ULSS 6 - Ospedale Conselve,ULSS 6 - Ospedale Piove di Sacco,ULSS 6 - Ospedale Schiavonia,ULSS 7 - Ospedale Asiago,ULSS 7 - Ospedale Bassano,ULSS 7 - Ospedale Santorso,ULSS 8 - Ospedale Arzignano,ULSS 8 - Ospedale Lonigo,ULSS 8 - Ospedale Noventa Vicentina,ULSS 8 - Ospedale Valdagno,ULSS 8 - Ospedale Vicenza,ULSS 9 - Ospedale Bovolone,ULSS 9 - Ospedale Bussolengo,ULSS 9 - Ospedale Legnago,ULSS 9 - Ospedale Malcesine,ULSS 9 - Ospedale Marzana,ULSS 9 - Ospedale San Bonifacio,ULSS 9 - Ospedale Villafranca,Veneto
20200306,38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,22,3,11,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,3,0,0,0,0,155
20200307,42,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,2,0,0,57,1,0,0,23,5,11,0,0,0,0,5,0,0,0,0,3,0,0,0,6,0,0,0,0,10,0,0,3,0,0,0,0,188
20200308,49,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,1,2,4,0,0,67,1,1,0,29,6,11,0,0,0,0,4,0,0,0,0,5,0,0,1,5,0,0,0,0,10,0,0,3,0,0,0,1,221
20200309,35,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,1,5,1,0,0,63,1,1,2,21,2,8,0,0,0,0,4,0,0,0,0,4,0,0,1,2,0,0,0,0,5,0,0,4,0,0,0,3,203
20200310,34,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,1,5,4,0,0,70,4,1,2,19,5,8,0,0,0,0,4,0,0,0,0,4,18,0,2,2,0,0,0,0,7,0,0,5,0,0,0,3,233
20200311,42,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,1,5,4,0,0,70,4,1,2,19,5,8,1,0,0,0,4,0,0,4,0,4,21,0,2,6,1,0,0,0,10,0,0,5,0,0,0,3,262
20200312,45,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,10,0,0,5,4,14,2,0,55,7,1,6,33,16,10,5,0,0,0,5,0,0,10,0,6,37,0,3,9,0,0,0,0,13,0,0,7,0,0,0,3,357
20200313,43,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,11,0,0,5,5,5,0,0,78,3,2,13,20,11,9,6,0,0,0,5,0,0,6,0,2,32,0,4,10,0,0,0,0,11,0,0,9,0,0,0,5,350
20200314,45,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,33,0,0,0,15,0,0,6,7,5,0,0,56,2,1,17,32,12,9,8,0,0,1,4,0,0,8,0,4,48,16,9,11,0,0,0,0,11,0,0,8,0,0,2,6,416
20200315,51,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,49,0,0,0,17,0,0,9,7,4,0,1,70,2,1,21,33,12,10,7,0,0,1,5,0,0,13,0,13,49,14,12,11,0,0,0,1,13,0,0,8,0,0,2,5,487
20200316,49,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,45,0,0,0,15,0,0,8,7,6,0,1,77,2,1,26,42,10,12,15,0,0,1,10,0,0,11,0,15,59,15,14,11,0,0,0,1,18,0,0,9,0,0,3,5,546
20200317,47,0,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,40,0,0,0,20,0,0,9,5,6,0,1,85,1,1,30,44,10,12,18,0,0,1,10,0,0,8,0,14,69,13,14,18,0,0,3,0,22,0,0,15,0,0,2,6,593
20200318,79,0,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,42,0,0,0,27,0,0,10,5,23,1,1,93,13,1,39,42,5,11,16,0,0,1,8,0,0,11,0,6,80,11,14,21,0,0,4,0,28,0,0,18,0,0,1,7,691
20200319,83,0,61,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,43,2,0,1,32,0,0,9,5,38,3,5,95,24,0,44,44,2,12,27,0,0,0,10,0,0,8,0,0,97,23,12,23,0,2,8,0,26,0,0,17,0,0,4,10,805
20200320,82,0,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,41,10,0,6,35,0,0,9,14,44,11,6,111,27,0,47,40,0,12,31,0,0,0,15,0,0,8,0,0,108,23,15,24,0,0,12,0,39,0,0,28,0,0,6,12,919
20200321,84,0,72,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,45,9,0,6,40,0,0,9,24,53,20,11,121,52,0,53,45,0,14,35,0,0,0,13,0,0,5,0,0,103,23,17,24,0,0,14,0,43,0,0,29,0,0,10,56,1084
20200322,90,0,68,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,47,12,0,6,39,0,0,9,29,58,21,11,131,54,0,59,58,0,17,39,0,0,0,14,0,0,4,0,0,114,23,23,21,0,0,14,0,51,0,0,33,0,0,8,61,1177
20200323,98,0,78,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,46,13,0,6,44,0,0,10,28,48,27,15,135,68,0,67,54,0,17,44,0,0,0,19,0,1,5,0,0,115,22,29,36,0,0,17,0,53,0,0,39,0,0,7,97,1305
20200324,92,0,75,45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,4,51,20,0,6,46,0,0,8,29,41,27,19,134,63,0,71,57,0,15,45,0,0,0,20,0,1,0,0,0,112,20,33,36,0,0,17,4,59,0,0,43,0,0,4,107,1326
20200325,103,0,68,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,59,23,0,11,45,0,0,10,31,27,34,18,122,103,1,73,51,0,15,54,0,0,0,19,0,2,0,0,0,117,20,39,30,0,0,19,6,66,0,0,50,0,0,9,120,1436
20200326,115,0,76,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,59,22,0,11,48,0,0,9,30,24,34,18,126,101,1,79,45,4,13,60,0,0,0,21,0,2,0,0,0,123,20,32,53,0,0,18,10,62,0,0,48,0,1,10,124,1490
20200327,110,0,82,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,46,38,65,17,0,12,53,0,0,11,24,27,31,19,116,101,1,82,46,0,13,53,0,0,0,25,0,4,0,0,0,121,20,32,51,0,0,20,10,64,0,0,57,0,2,18,116,1524
20200328,117,0,77,36,0,3,1,0,0,0,0,0,0,0,0,0,0,0,43,40,69,20,0,12,51,0,4,11,23,19,29,20,113,103,0,84,53,0,13,56,0,0,0,24,5,8,0,0,0,117,21,32,57,0,0,21,11,65,0,0,60,0,19,19,118,1574
20200329,116,0,86,40,0,3,1,0,0,0,0,0,0,0,0,0,0,0,44,40,77,27,0,0,43,12,6,12,23,18,29,19,111,102,0,87,49,1,12,55,0,0,0,24,5,9,0,0,0,122,22,27,68,0,0,21,13,71,0,0,65,0,19,20,118,1617
20200330,113,0,89,40,1,3,1,0,0,0,0,0,0,0,0,0,0,0,50,42,79,28,0,0,41,12,6,11,22,17,29,21,114,122,1,88,49,1,11,60,0,0,0,25,5,10,0,0,0,125,22,27,79,0,0,20,13,71,0,0,65,0,22,19,115,1669
20200331,114,0,84,39,14,0,7,0,0,0,0,0,0,0,0,0,0,0,48,46,83,27,0,0,44,12,9,8,29,10,37,18,119,139,0,92,49,1,12,54,0,0,0,26,5,10,0,0,0,126,23,27,83,0,0,19,13,76,0,0,68,0,27,16,118,1732
20200401,106,0,81,39,4,0,9,0,0,0,0,0,0,0,0,0,0,0,46,49,81,31,0,0,45,12,10,7,32,4,30,17,99,142,0,91,43,0,11,49,0,0,0,23,5,11,0,0,0,124,22,28,90,0,0,21,14,75,0,0,69,0,36,12,119,1687
20200402,105,0,78,35,9,9,0,20,29,0,0,0,7,0,0,0,1,0,47,49,78,35,0,0,41,12,14,8,30,2,28,14,97,139,0,84,41,0,12,50,0,0,0,24,5,11,0,0,0,115,21,24,95,0,0,19,13,72,0,0,73,0,42,13,118,1719
20200403,103,0,74,33,9,14,0,19,34,0,0,0,7,8,0,0,1,0,54,49,81,35,0,0,38,12,14,10,28,2,21,13,86,138,0,81,41,0,11,46,0,0,0,25,4,10,0,0,0,108,13,9,102,0,0,22,13,72,0,0,71,0,43,18,121,1693
20200404,102,0,75,34,9,14,0,20,34,0,0,0,7,10,0,0,1,0,50,49,85,46,0,0,36,12,14,8,28,1,21,12,80,135,0,82,36,0,9,45,0,0,0,5,29,12,0,0,0,107,4,9,103,0,0,22,15,70,0,0,67,0,47,27,112,1684
20200405,110,0,79,31,9,0,14,20,34,0,0,0,8,9,0,0,0,0,47,49,82,46,0,0,34,13,14,7,28,1,20,12,76,135,0,88,38,0,9,43,0,0,1,8,26,12,0,0,0,112,4,9,111,0,0,22,17,70,0,0,67,0,45,27,110,1697
20200406,118,0,70,32,10,0,14,21,34,0,0,7,8,9,0,25,0,0,44,43,83,51,0,0,40,13,14,8,27,4,19,11,83,112,0,90,34,0,10,45,0,0,1,11,26,5,0,0,0,111,4,9,109,0,0,22,17,70,0,5,66,1,46,30,110,1722
20200407,116,0,69,38,10,0,13,23,31,0,0,6,7,11,0,31,0,0,37,43,82,49,0,0,39,13,13,7,24,3,23,11,80,92,1,85,32,1,10,44,0,0,1,12,30,8,0,0,0,113,2,7,117,0,0,21,17,70,0,6,64,1,50,29,114,1706
20200408,113,0,64,33,11,0,14,24,32,0,0,7,7,11,0,29,0,0,40,44,84,47,0,0,40,13,14,4,20,0,19,10,70,89,1,87,29,2,11,43,0,0,1,11,31,5,0,0,0,120,2,6,124,0,0,21,17,68,0,12,60,0,55,21,111,1677
20200409,113,0,64,28,11,0,12,24,30,0,0,8,7,10,0,26,0,1,43,44,80,47,0,0,42,14,15,1,17,1,21,8,69,79,1,88,27,2,12,42,0,0,1,14,39,6,0,0,0,116,2,4,128,0,0,21,18,63,0,15,60,0,62,24,108,1668
20200410,103,0,60,28,10,0,12,24,31,0,0,8,7,18,0,27,0,1,40,44,75,44,1,0,44,15,15,1,12,0,19,10,68,68,1,88,27,2,12,42,0,1,1,12,42,5,0,0,0,106,2,5,132,0,0,19,17,61,0,15,59,0,62,27,113,1636
20200411,97,0,57,26,9,0,11,24,31,0,0,8,7,18,0,27,0,1,40,44,69,47,1,0,38,15,16,1,12,0,18,10,66,67,1,83,30,2,12,39,0,1,1,14,38,4,0,0,0,110,2,7,130,0,0,21,19,56,0,24,59,0,66,20,104,1603
20200412,96,0,56,27,10,0,10,24,31,0,0,8,7,18,0,27,0,1,40,44,68,39,1,0,37,14,14,1,12,0,18,8,66,67,1,81,28,1,11,38,1,1,1,2,45,4,0,0,0,115,2,5,132,0,0,21,18,57,0,21,56,0,67,22,101,1575
20200413,97,0,54,28,10,0,10,24,31,0,0,8,7,18,1,27,0,1,38,44,66,39,1,0,38,13,14,1,12,0,18,7,66,67,1,79,28,1,10,40,0,1,1,2,47,4,0,0,0,117,1,1,136,0,0,21,18,54,0,19,58,0,67,28,100,1574
20200414,93,0,54,30,10,0,10,25,26,0,0,8,7,19,1,23,0,2,46,47,67,41,1,0,38,13,16,1,7,0,13,7,48,67,1,81,28,2,10,40,0,1,1,2,45,4,0,0,0,120,1,0,142,0,0,21,18,57,0,20,55,0,66,24,105,1564
20200415,86,0,50,27,10,0,10,24,27,1,0,8,8,19,1,26,0,2,46,48,65,45,3,0,43,14,15,0,7,1,10,8,44,61,1,82,28,2,10,38,0,1,1,3,45,4,0,0,0,117,1,0,147,0,0,22,18,53,0,24,56,0,65,28,102,1557
20200416,73,0,46,22,10,0,7,23,27,1,1,9,10,19,1,25,0,1,51,49,66,48,4,0,40,14,13,0,4,1,14,9,39,57,2,81,28,0,8,36,0,1,1,5,44,4,0,0,0,108,1,0,139,0,0,23,19,54,0,29,58,0,67,11,102,1505
20200417,74,0,49,23,10,0,7,23,27,1,1,9,10,19,1,25,0,1,51,49,65,49,4,0,40,14,13,0,4,1,14,8,39,57,2,78,29,1,8,33,0,1,1,5,44,4,0,0,0,109,1,0,139,0,0,25,19,51,0,29,58,0,67,9,108,1509
20200418,74,0,49,23,10,0,7,23,27,1,1,9,10,19,1,25,0,1,51,49,65,49,4,0,40,14,13,0,4,1,14,8,39,57,2,78,29,1,8,33,0,1,1,5,44,4,0,0,0,109,1,0,139,0,0,25,19,51,0,29,58,0,67,9,108,1509
20200419,63,0,46,16,10,0,11,14,27,1,1,8,10,15,1,24,0,2,52,49,59,53,3,0,38,14,14,0,3,2,11,6,40,48,0,71,26,0,10,34,0,1,2,1,47,5,0,1,0,110,1,0,128,0,0,22,16,47,1,22,49,0,66,9,95,1405
20200420,66,0,47,14,10,0,11,14,27,1,1,8,10,15,1,24,0,2,52,49,59,48,3,0,39,15,14,0,3,2,11,5,38,47,1,77,25,0,10,33,0,1,2,2,47,5,0,1,0,113,1,0,129,0,0,21,14,46,1,22,50,0,66,7,105,1415
