residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3739,+8),1305,232,2202,1139
Cluster domiciliati Comune di VÃ²,88,+1),5,3,80,
Treviso,2476,+23),1109,250,1117,1402
Venezia,2366,+19),828,196,1342,875
Verona,4526,+34),2971,360,1195,1297
Vicenza,2571,+17),1457,198,916,1443
Belluno,1060,+10),688,67,305,1302
Rovigo,422,+5),280,28,114,591
Domicilio fuori Veneto,282,-12,169,9,104,
Assegnazione in corso,49,+3),48,1,0,